271403,"SEVABHARATHI PU COLLEGE, CHAMARAJANAGARA, SEVABHARATHI PU COLLEGE, CHENNIPURAMOLE ROAD, SHANKARAPURA, CHAMARAJANAGARA-571313, CHAMARAJNAGAR, KARNATAKA"
300913,"EKLAVYA MODEL RESIDENTIAL SCHOOL, EKLAVYA MODEL RESIDENTIAL SCHOOL NEAR VAISHNODEVI TEMPLE BARWANI MP, BARWANI, MADHYAPRADESH"
301314,"PODAR INTERNATIONAL SCHOOL, NAGPUR ROAD, IMLIKHEDA, CHHINDWARA, MADHYA PRADESH, CHHINDWARA, MADHYA PRADESH"
311320,"GEMS ENGLISH MEDIUM SCHOOL, KAMAL NAGAR HIRAWADI PANCHAVATI IN FRONT OF SAMRAT GOKUL DHAM, NASHIK, NASHIK, MAHARASHTRA"
311413,"SCHOOL OF BIOTECHNOLOGY & BIOINFORMATICS D. Y. PATIL DEEMED TO BE UNIVERSITY, PLOT - 50 SECTOR - 15 CBD BELAPUR NAVI MUMBAI, NAVIMUMBAI, MAHARASHTRA"
312103,"MANES INTERNATIONAL HIGHSCHOOL RATNAGIRI, CHAITANYA NAGAR A/P-KUWARBAV TAL/DIST-RATNAGIRI, RATNAGIRI, MAHARASHTRA"
311126,"CENTRE POINT SCHOOL, KATOL ROAD NEAR SEMINARY HILLS FOREST COLONY, NAGPUR, MAHARASHTRA"
311063,"COLLEGE OF SOCIAL WORK, COLLEGE OF SOCIAL WORK, NIRMALA NIKETAN 38, NEW MARINE LINES, NEAR CHURCHGATE STATION, MUMBAI 400020,MUMBAI, MAHARASHTRA"
330503,"CAPT WILLIAM''S SCH MATCHAKOLGRE, CAPT. WILLIAM?S SCHOOL TURA WEST GARO HILLS MEGHALAYA, TURA, MEGHALAYA"
361201,"MALKANGIRI COLLEGE, BESIDE KALIMELA MAIN ROAD, NEAR NEW COURT BUILDING, AT/PO:- MALKANGIRI, DIST: MALKANGIRI, MALKANGIRI, ODISHA"
361202,"MODEL DEGREE COLLEGE, AT-THAKURPALLI, MV-3, PO-TAMASA, DIST-MALKANGIRI, PIN-764045, MALKANGIRI, ODISHA"
361203,"KENDRIYA VIDYALAYA MALKANGIRI, KENDRIYA VIDYALAYA MALKANGIRI, PO: MALKANGIRI, DISIT: MALKANGIRI, BHUBANESWAR, ORISSA PIN: 764048,MALKANGIRI, ODISHA"
361807,"KENDRIYA VIDYALAYA MURGABADI, K.V.MURGABADI PO- BHANJPUR BARIPADA, BARIPADA/MAYURBANJ, ODISHA"
362004,"DELHI PUBLIC SCHOOL, DELHI PUBLIC SCHOOL SYNERGY DHENKANAL BANAMALI PRASAD MAHISAPAT BY THE SIDE OF NH-55 DHENKANAL, DHENKANAL,ODISHA"
362502,"ODISHA ADARSH VIDYALAYA, AT/PO- ODISHA ADARSH VIDYALAYA, PAPADAHANDI, NABARANGPUR, ODISHA, 764071, NAWARANGPUR, ODISHA"
362503,"PM SHRI KENDRIYA VIDYALAYA, CHUTIAGUDA, NABARANGPUR, ODISHA, 764059, NAWARANGPUR, ODISHA"
370201,"JAWAHAR NAVODAYA VIDYALAYA  YANAM, JNV METTAKUR YANAM, YANAM, PUDUCHERRY (UT)"
412408,"DOCTORS PUBLIC SCHOOL, MELAPPATTU, NEAR GOVT.HIGH SCHOOL, PUDUKKOTTAI, TAMIL NADU -  614616, PUDUKKOTTAI, TAMIL NADU"
412605,"KENDRIYA VIDYALAYA, KARAIKUDI, CECRI CAMPUS, KARAIKUDI, SIVAGANGA, TAMIL NADU"
411107,"SHAKTHI PUBLIC SCHOOL, 167/2A-1, MURUKAMPATTU, TIRUTTANI - 631209, THIRUVALLUR, TAMIL NADU"
411905,"THE ADITYA BIRLA PUBLIC SCHOOL, REDDIPALAYAM PO ARIYALUR DISTRICT, ARIYALUR, TAMIL NADU"
420151,"KENDRIYA VIDYALAYA BOLARUM, ALLEN BY LINES, J J NAGAR , YAPRAL, SECUNDERABAD, TELANGANA, 500087, HYDERABAD/SECUNDERABAD,TELANGANA"
421602,"MAHARSHI VIDYALAYA, EDULAPUSAPALLY ROAD, NEAR N.T.R STADIUM, MAHABUBABAD, TELANGANA-506101, MAHABUBABAD, TELANGANA"
445804,"R R POLYTECHNIC, VILL - HINDWARI, POST- TENDU, ROBERTSGANJ, DISTT- SONBHADRA UP- 231216, SONBHADRA, UTTAR PRADESH"
461421,"DELHI WORLD PUBLIC SCHOOL, NITYANANDAPUR KAZIGRAM P.O. CHANDIPUR MALDA WEST BENGAL - 732103, MALDA, WEST BENGAL"
461604,"KENDRIYA VIDYALAYA, KENDRIYA VIDYALAYA RANAGHAT VILLAGE:KUMARSHATPUR P.O RANAGHAT., NADIA, WEST BENGAL"
461312,"CHAKDAHA MODEL SCHOOL, LALPUR VIVEKANANDAPALLY CHAKDAHA,DIST-NADIA, KALYANI, WEST BENGAL"
122301,"SADHANA DEGREE COLLEGE, #6/42 BESIDE GOPI KRISHNA CENTRAL SCHOOL DORASANIPALLI PRODDATUR, PRODDATUR, ANDHRA PRADESH"
122905,"THE SUN SCHOOL, THE SUN SCHOOL 100 FT. RING ROAD TOWN CENTER LAYOUT VIZIANAGARAM, VIZIANAGARAM, ANDHRA PRADESH"
140703,"NERIM CHALLENGE ACADEMY, JOYNAGAR, GERIMARI, MANGALDAI, DARRANG (MANGALDOI), ASSAM"
140808,"GAURIPUR GIRLS'' HIGHER SECONDARY SCHOOL, WARD NO. 9 GAURIPUR, DHUBRI, ASSAM"
140809,"DHUBRI LAW COLLEGE, WARD NO. 15 COLLEGE NAGAR , PO BIDYAPARA, DHUBRI, ASSAM"
141002,"GURUKUL GLOBAL ACADEMY, GOLAGHAT-JAMUGURI ROAD, BENGNEKHOWA,, GOLAGHAT, ASSAM"
150269,"PREMALOK MISSION SCHOOL M S PURAM PATNA BIHAR, PREMALOK MISSION SCHOOL MAA SHARDA PURAM BERIYA PATNA-GAYA ROAD PATNA BIHAR,PATNA, BIHAR"
170115,"SHARDA VIDYALAYA, RISALI SECTOR BHILAI DISTT- DURG CHHATTISGARH, BHILAI NAGAR/DURG, CHHATTISGARH"
170501,"GOVT.BOYS ADARSH HR.SEC.SCHOOL BALOD, NEAR SARDAR PATEL GROUND, BALOD, CHHATTISGARH"
170601,"DAVMPS AWAPALLI BIJAPUR, AWAPALLI BIJAPUR, 494447, BIJAPUR, CHHATTISGARH"
171404,"RIVERDALE WORLD SCHOOL, RIVERDALE WORLD SCHOOL PITIYAZHAR ROAD MAHASAMUND, MAHASAMUND, CHHATTISGARH"
171501,"GOVT. BOYS HIGHER SECONDARY SCHOOL NARAYANPUR, NAYAPARA, NARAYANPUR, NARAYANPUR, CHHATTISGARH"
210205,"KENDRIYA VIDYALAYA, CURTI, HAVELI, PONDA GOA, PONDA, GOA"
222606,"P.V LAKHANI ENGLISH MEDIUM SCHOOL ., P.V.LAKHANI ENGLISH MEDIUM SCHOOL BILIMORA-AMALSAD ROAD LUSWADA SARIBUJRANG, NAVSARI,GUJARAT"
222805,"ARMY PUBLIC SCHOOL DHRANGADHRA, ARMY PUBLIC SCHOOL DHRANGADHRA DISTT SURENDRANAGAR (GUJ) PIN -363310, SURENDRANAGAR, GUJARAT"
223006,"DAXINAPATH VIVIDHLAXI VIDHYALAYA, DAXINAPATH VIVIDHLAXI VIDHYALAYA, OPP GENERAL HOSPITAL, VYARA, VYARA, GUJARAT"
220121,"PRAKASH HIGHER SECONDARY SCHOOL, OPP SANDESH PRESS, VASTRAPUR, BODAKDEV, AHMEDABAD, GUJARAT"
220207,"SHRI I B PATEL ANGEL SR SEC SCHOOL, BORSAD ROAD JITODIA ANAND, ANAND, GUJARAT"
220604,"BHAGWATI INTERNATIONAL PUBLIC SCHOOL, RAJMAHAL ROAD PATAN COLLEGE CAMPUS PATAN, PATAN, GUJARAT"
220820,"EURO SCHOOL, BLOCK NO.283,NR SIMADACHECKPOST, PUKUMBHARIYACANAL ROAD,VILLAGEKOSMADA, SURAT, GUJARAT"
221006,"V A MGM AMIN & VN SAVANI SCH KILLA PARDI GUJ, VALLABH ASHRAM`S M G M AMIN & V N SAVANI SCHOOL NH NO.48 KILLA PARDI VALSAD DISTTGUJARAT, VALSAD/VAPI, GUJARAT"
221204,"DOON PUBLIC SCHOOL, RS NO 64/1 PAIKI, GANGESHWAR MAHADEV TEMPLE ROAD, MADHAPAR, BHUJ, GUJARAT 370020, BHUJ, GUJARAT"
221414,"SHRI M.B.KARNAVAT HIGH SCHOOL PALANPUR, GOBARI ROAD, PALANPUR, BANASKANTHA, GUJARAT"
